created_at,field1,field2,field3,field4,field5,field6
2026-06-25 23:43:21,27.3,51.99,1.67,2338,4095,0.06
2026-06-25 23:44:19,27.3,51.92,1.67,547,4095,0.06
2026-06-25 23:44:21,27.3,51.91,1.67,465,4095,0.06
2026-06-25 23:44:24,27.3,51.91,1.67,430,4095,0.06
2026-06-25 23:44:26,27.3,51.89,1.67,824,4095,0.06
2026-06-25 23:44:28,27.3,51.88,1.67,1315,4095,0.06
2026-06-25 23:44:30,27.3,51.87,1.67,1732,4095,0.06
2026-06-25 23:44:32,27.3,51.87,1.67,1736,4095,0.06
2026-06-25 23:44:34,27.3,51.86,1.67,1499,4095,0.06
2026-06-25 23:44:36,27.3,51.85,1.67,1274,4095,0.06
2026-06-25 23:44:39,27.3,51.86,1.67,1436,4095,0.06
2026-06-25 23:44:41,27.3,51.87,1.67,2174,4095,0.06
2026-06-25 23:44:43,27.3,51.86,1.67,2239,4095,0.06
2026-06-25 23:44:45,27.3,51.85,1.67,1903,4095,0.06
2026-06-25 23:44:47,27.3,51.84,1.67,1635,4095,0.06
2026-06-25 23:44:49,27.3,51.84,1.67,2004,4095,0.06
2026-06-25 23:44:51,27.3,51.85,1.67,2318,4095,0.06
2026-06-25 23:44:54,27.3,51.85,1.67,2030,4095,0.06
2026-06-25 23:44:56,27.3,51.86,1.67,1725,4095,0.06
2026-06-25 23:44:58,27.3,51.85,1.67,2071,4095,0.06
2026-06-25 23:45:00,27.3,51.83,1.67,2374,4095,0.06
2026-06-25 23:45:03,27.3,51.84,1.67,2018,4095,0.06
2026-06-25 23:45:05,27.3,51.83,1.67,1736,4095,0.06
2026-06-25 23:45:07,27.3,51.83,1.67,2090,4095,0.06
2026-06-25 23:45:09,27.3,51.81,1.67,1670,4095,0.06
2026-06-25 23:45:12,27.3,51.8,1.67,2033,4095,0.06
2026-06-25 23:45:14,27.3,51.8,1.67,2343,4095,0.06
2026-06-25 23:45:16,27.3,51.79,1.67,1991,4095,0.06
2026-06-25 23:45:18,27.3,51.79,1.67,1692,4095,0.06
2026-06-25 23:45:20,27.3,51.78,1.67,2053,4095,0.06
2026-06-25 23:45:22,27.3,51.78,1.67,2359,4095,0.06
2026-06-25 23:45:24,27.3,51.8,1.67,2151,4095,0.06
2026-06-25 23:45:26,27.3,51.8,1.67,1828,4095,0.06
2026-06-25 23:45:29,27.3,51.78,1.67,1554,4095,0.06
2026-06-25 23:45:31,27.3,51.77,1.67,1935,4095,0.06
2026-06-25 23:45:33,27.3,51.79,1.67,2259,4095,0.06
2026-06-25 23:45:35,27.3,51.79,1.67,2534,4095,0.06
2026-06-25 23:45:37,27.3,51.81,1.67,2199,4095,0.06
2026-06-25 23:45:39,27.3,51.79,1.67,1869,4095,0.06
2026-06-25 23:45:42,27.3,51.79,1.67,1804,4095,0.06
2026-06-25 23:45:44,27.3,51.8,1.67,2440,4095,0.06
2026-06-25 23:45:46,27.3,51.8,1.67,2226,4095,0.06
2026-06-25 23:45:48,27.3,51.8,1.67,1892,4095,0.06
2026-06-25 23:45:50,27.3,51.8,1.67,1608,4095,0.06
2026-06-25 23:45:52,27.3,51.78,1.67,1981,4095,0.06
2026-06-25 23:45:55,27.3,51.77,1.67,2298,4095,0.06
2026-06-25 23:45:57,27.3,51.78,1.67,2137,4095,0.06
2026-06-25 23:45:59,27.3,51.76,1.67,1817,4095,0.06
2026-06-25 23:46:01,27.3,51.75,1.67,1544,4095,0.06
2026-06-25 23:46:03,27.3,51.76,1.67,1609,4095,0.06
2026-06-25 23:46:05,27.3,51.77,1.67,1982,4095,0.06
2026-06-25 23:46:07,27.3,51.77,1.67,2299,4095,0.06
2026-06-25 23:46:09,27.3,51.78,1.67,2568,4095,0.06
2026-06-25 23:46:12,27.3,51.76,1.67,2214,4095,0.06
2026-06-25 23:46:14,27.3,51.75,1.67,1883,4095,0.06
2026-06-25 23:46:16,27.3,51.75,1.67,1600,4095,0.06
2026-06-25 23:46:18,27.3,51.75,1.67,1360,4095,0.06
2026-06-25 23:46:20,27.3,51.74,1.67,1156,4095,0.06
2026-06-25 23:46:23,27.3,51.75,1.67,983,4095,0.06
2026-06-25 23:46:25,27.3,51.74,1.67,1058,4095,0.06
2026-06-25 23:46:27,27.3,51.75,1.67,1230,4095,0.06
2026-06-25 23:46:29,27.3,51.76,1.67,1583,4095,0.06
2026-06-25 23:46:31,27.3,51.75,1.67,1901,4095,0.06
2026-06-25 23:46:33,27.3,51.74,1.67,2230,4095,0.06
2026-06-25 23:46:35,27.3,51.74,1.67,2509,4095,0.06
2026-06-25 23:46:38,27.3,51.75,1.67,2747,4095,0.06
2026-06-25 23:46:40,27.3,51.74,1.67,2949,4095,0.06
2026-06-25 23:46:42,27.3,51.73,1.67,3249,4095,0.06
2026-06-25 23:46:44,27.3,51.72,1.67,3209,4095,0.06
2026-06-25 23:46:46,27.3,51.72,1.67,3031,4095,0.06
2026-06-25 23:46:49,27.3,51.72,1.67,2577,4095,0.06
2026-06-25 23:46:51,27.3,51.71,1.67,2190,4095,0.06
2026-06-25 23:46:53,27.3,51.71,1.67,1861,4095,0.06
2026-06-25 23:46:55,27.3,51.71,1.67,1582,4095,0.06
2026-06-25 23:46:57,27.3,51.71,1.67,1345,4095,0.06
2026-06-25 23:46:59,27.3,51.71,1.67,1243,4095,0.06
2026-06-25 23:47:01,27.3,51.69,1.67,1627,4095,0.06
2026-06-25 23:47:03,27.3,51.69,1.67,1997,4095,0.06
2026-06-25 23:47:06,27.3,51.69,1.67,2312,4095,0.06
2026-06-25 23:47:08,27.3,51.69,1.67,2579,4095,0.06
2026-06-25 23:47:10,27.3,51.7,1.67,2807,4095,0.06
2026-06-25 23:47:12,27.3,51.7,1.67,3000,4095,0.06
2026-06-25 23:47:14,27.3,51.7,1.67,3164,4095,0.06
2026-06-25 23:47:16,27.3,51.7,1.67,3304,4095,0.06
2026-06-25 23:47:18,27.3,51.7,1.67,3411,4095,0.06
2026-06-25 23:47:20,27.3,51.7,1.67,3358,4095,0.06
2026-06-25 23:47:22,27.3,51.7,1.67,3294,4095,0.06
2026-06-25 23:47:24,27.3,51.68,1.67,3253,4095,0.06
2026-06-25 23:47:26,27.3,51.67,1.67,3267,4095,0.06
2026-06-25 23:47:29,27.3,51.66,1.67,3270,4095,0.06
2026-06-25 23:47:31,27.3,51.67,1.67,3316,4095,0.06
2026-06-25 23:47:33,27.3,51.67,1.67,3433,4095,0.06
2026-06-25 23:47:35,27.3,51.66,1.67,3532,4095,0.06
2026-06-25 23:47:38,27.3,51.65,1.67,3616,4095,0.06
2026-06-25 23:47:40,27.3,51.67,1.67,3688,4095,0.06
2026-06-25 23:47:42,27.3,51.66,1.67,3749,4095,0.06
2026-06-25 23:47:44,27.3,51.65,1.67,3801,4095,0.06
2026-06-25 23:47:47,27.3,51.68,1.67,3882,4095,0.06
2026-06-25 23:47:49,27.3,51.68,1.67,3914,4095,0.06
2026-06-25 23:47:51,27.3,51.7,1.67,3941,4095,0.06
2026-06-25 23:47:53,27.3,51.69,1.67,3964,4095,0.06
2026-06-25 23:47:55,27.3,51.69,1.67,3984,4095,0.06
2026-06-25 23:47:58,27.3,51.68,1.67,4000,4095,0.06
2026-06-25 23:48:00,27.3,51.68,1.67,4014,4095,0.06
2026-06-25 23:48:02,27.28,51.68,1.67,4026,4095,0.06
2026-06-25 23:48:04,27.29,51.68,1.67,4037,4095,0.06
2026-06-25 23:48:06,27.29,51.69,1.67,4045,4095,0.06
2026-06-25 23:48:08,27.29,51.67,1.67,3786,4095,0.06
2026-06-25 23:48:10,27.29,51.65,1.67,3311,4095,0.06
2026-06-25 23:48:12,27.29,51.66,1.67,2855,4095,0.06
2026-06-25 23:48:15,27.3,51.67,1.67,2063,4095,0.06
2026-06-25 23:48:17,27.3,51.66,1.67,1753,4095,0.06
2026-06-25 23:48:19,27.28,51.63,1.67,1490,4095,0.06
2026-06-25 23:48:21,27.28,51.63,1.67,1267,4095,0.06
2026-06-25 23:48:23,27.29,51.62,1.67,1077,4095,0.06
2026-06-25 23:48:26,27.29,51.64,1.67,915,4095,0.06
2026-06-25 23:48:28,27.29,51.63,1.67,778,4095,0.06
2026-06-25 23:48:30,27.29,51.64,1.67,661,4095,0.06
2026-06-25 23:48:32,27.29,51.65,1.67,562,4095,0.06
2026-06-25 23:48:34,27.29,51.64,1.67,477,4095,0.06
2026-06-25 23:48:36,27.29,51.64,1.67,407,4095,0.06
2026-06-25 23:48:39,27.3,51.65,1.67,381,4095,0.06
2026-06-25 23:48:41,27.28,51.66,1.67,387,4095,0.06
2026-06-25 23:48:43,27.28,51.65,1.67,492,4095,0.06
2026-06-25 23:48:45,27.29,51.66,1.67,760,4095,0.06
2026-06-26 00:20:56,26.9,50.79,9.17,4095,4095,0.06
2026-06-26 00:20:58,26.9,50.8,9.17,2612,4095,0.06
2026-06-26 00:21:00,26.9,50.78,9.17,2914,4095,0.06
2026-06-26 00:21:02,26.81,50.8,9.17,3706,4095,0.06
2026-06-26 00:21:04,26.89,50.8,9.17,171,4095,0.06
2026-06-26 00:21:06,26.9,50.71,9.17,2133,4095,0.06
2026-06-26 00:21:09,26.9,50.61,9.17,4095,4095,0.06
2026-06-26 00:21:11,26.9,50.51,9.17,924,4095,0.06
2026-06-26 00:21:13,26.9,50.5,9.17,323,4095,0.06
2026-06-26 00:21:15,26.9,50.59,9.17,3611,4095,0.06
2026-06-26 00:21:17,26.9,50.78,9.17,3867,4095,0.06
2026-06-26 00:21:19,26.9,50.53,9.17,1314,4095,0.05
2026-06-26 00:21:21,26.9,50.68,9.17,41,4095,0.06
2026-06-26 00:21:23,26.9,50.52,9.17,1090,4095,0.06
2026-06-26 00:21:26,26.9,50.68,9.17,4095,4095,0.06
2026-06-26 00:21:28,26.9,50.52,9.17,3850,4095,0.06
2026-06-26 00:21:30,26.9,50.5,9.17,2416,4095,0.06
2026-06-26 00:21:32,26.9,50.5,9.17,13,4095,0.06
2026-06-26 00:21:34,26.9,50.5,9.17,1046,4095,0.06
2026-06-26 00:21:36,26.9,50.68,9.17,4020,4095,0.06
2026-06-26 00:21:38,26.9,50.61,9.17,3979,4095,0.06
2026-06-26 00:21:40,26.9,50.6,9.17,3600,4095,0.06
2026-06-26 00:21:43,26.9,50.6,9.17,517,4095,0.06
2026-06-26 00:21:45,26.9,50.42,9.17,4,4095,0.06
2026-06-26 00:21:47,26.9,50.67,9.17,427,4095,0.06
2026-06-26 00:21:49,26.9,50.61,9.17,1213,4095,0.06
2026-06-26 00:21:51,26.9,50.42,8.92,3986,4095,0.06
2026-06-26 00:21:54,26.9,50.4,6.25,4095,4095,0.05
2026-06-26 00:22:02,26.9,50.67,5.83,292,4095,0.06
2026-06-26 00:22:05,26.9,50.61,5.83,478,4095,0.06
2026-06-26 00:22:07,26.9,50.42,5.75,826,4095,0.06
2026-06-26 00:22:09,26.9,50.58,3.17,3108,4095,0.06
2026-06-26 00:22:12,26.9,50.42,1.92,4095,4095,0.06
2026-06-26 00:22:14,26.9,50.42,5.83,4008,4095,0.06
2026-06-26 00:22:16,26.9,50.4,5.83,3836,4095,0.06
2026-06-26 00:22:18,26.9,50.4,5.83,3685,4095,0.06
2026-06-26 00:22:21,26.9,50.4,5.83,3685,4095,0.06
2026-06-26 00:22:23,26.9,50.58,5.5,3685,4095,0.06
2026-06-26 00:22:25,26.9,50.6,3.33,3685,4095,0.06
2026-06-26 00:22:27,26.9,50.42,3.5,3449,4095,0.06
2026-06-26 00:22:30,26.9,50.4,5.25,2109,4095,0.06
2026-06-26 00:22:32,26.9,50.4,5.67,577,4095,0.06
2026-06-26 00:22:34,26.9,50.4,2.08,15,4095,0.06
2026-06-26 00:22:36,26.9,50.4,0.92,2500,4095,0.06
2026-06-26 00:23:02,26.9,50.5,0.0,634,4095,0.43
2026-06-26 00:23:05,26.9,50.59,0.0,409,4095,0.05
2026-06-26 00:23:07,26.9,50.69,0.0,2460,4095,0.05
2026-06-26 00:23:09,26.9,51.18,1.08,1701,4095,0.32
2026-06-26 00:23:12,26.9,51.56,1.67,244,4095,0.06
2026-06-26 00:23:14,26.9,51.69,1.42,837,4095,0.06
2026-06-26 00:23:16,26.9,51.7,1.5,3779,4095,0.05
2026-06-26 00:23:18,26.9,51.7,1.67,3685,4095,0.05
2026-06-26 00:23:21,26.9,51.7,1.67,1831,4095,0.06
2026-06-26 00:23:23,26.9,51.61,1.67,89,4095,0.05
2026-06-26 00:23:25,26.9,51.51,1.58,353,4095,0.05
2026-06-26 00:23:27,26.9,51.5,1.67,954,4095,0.05
2026-06-26 00:23:29,26.9,51.41,1.67,3416,4095,0.05
2026-06-26 00:23:31,26.9,51.11,1.67,3685,4095,0.05
2026-06-26 00:23:34,26.99,51.01,1.67,3133,4095,0.05
2026-06-26 00:23:36,26.91,50.91,1.67,20,4095,0.05
2026-06-26 00:23:38,26.9,50.99,1.67,212,4095,0.05
2026-06-26 00:23:40,26.9,50.82,1.67,279,4095,0.06
2026-06-26 00:23:42,26.9,50.71,1.67,686,4095,0.06
2026-06-26 00:23:44,26.99,50.79,1.67,865,4095,0.06
2026-06-26 00:23:47,26.91,50.62,1.67,1564,4095,0.06
2026-06-26 00:23:49,26.9,50.69,1.67,4095,4095,0.06
2026-06-26 00:23:51,26.9,50.7,1.67,4095,4095,0.06
2026-06-26 00:23:53,26.9,50.61,1.67,3842,4095,0.06
2026-06-26 00:23:55,26.99,50.6,1.67,3685,4095,0.06
2026-06-26 00:23:58,26.91,50.51,1.67,3436,4095,0.06
2026-06-26 00:24:00,26.9,50.32,1.42,23,4095,0.06
2026-06-26 00:24:02,26.9,50.3,4.75,44,4095,0.06
2026-06-26 00:24:05,26.9,50.3,8.0,159,4095,0.06
2026-06-26 00:24:07,26.9,50.3,10.67,427,4095,0.05
2026-06-26 00:24:09,26.9,50.21,10.17,606,4095,0.05
2026-06-26 00:24:11,26.9,50.38,10.58,796,4095,0.05
2026-06-26 00:24:13,26.9,50.22,887.42,3325,4095,0.05
2026-06-26 00:24:15,26.9,50.2,785.08,4095,4095,0.05
2026-06-26 00:24:17,26.9,50.2,757.0,4095,4095,0.05
2026-06-26 00:24:19,26.9,50.47,38.92,3685,4095,0.09
2026-06-26 00:24:22,26.9,50.5,5.75,3685,4095,0.06
2026-06-26 00:24:24,26.9,50.5,5.17,3685,4095,0.06
2026-06-26 00:24:26,26.9,50.32,5.0,3662,4095,0.06
2026-06-26 00:24:28,26.9,50.39,4.58,347,4095,0.06
2026-06-26 00:24:30,26.9,50.49,4.17,22,4095,0.06
2026-06-26 00:24:33,26.9,50.32,4.17,194,4095,0.06
2026-06-26 00:24:35,26.9,50.48,4.17,537,4095,0.06
2026-06-26 00:24:37,26.9,50.41,4.17,799,4095,0.06
2026-06-26 00:24:39,26.9,50.49,4.17,3693,4095,0.06
2026-06-26 00:24:41,26.9,50.31,4.17,3331,4095,0.06
2026-06-26 00:24:43,26.9,50.57,4.17,3,4095,0.06
2026-06-26 00:24:46,26.9,50.33,4.17,169,4095,0.06
2026-06-26 00:24:48,26.9,50.48,4.17,1937,4095,0.06
2026-06-26 00:24:50,26.9,50.5,4.17,4095,4095,0.06
2026-06-26 00:24:52,26.9,50.32,4.17,2095,4095,0.06
2026-06-26 00:24:54,26.9,50.21,4.17,232,4095,0.06
2026-06-26 00:24:56,26.9,50.29,4.17,1758,4095,0.06
2026-06-26 00:24:59,26.9,50.48,4.17,4095,4095,0.06
2026-06-26 00:25:01,26.9,50.32,4.17,1229,4095,0.06
2026-06-26 00:25:03,26.9,50.3,4.17,350,4095,0.06
2026-06-26 00:25:05,26.9,50.5,4.17,3870,4095,0.06
2026-06-26 00:25:08,26.9,50.41,4.17,636,4095,0.06
2026-06-26 00:25:10,26.9,50.49,4.17,341,4095,0.06
2026-06-26 00:25:12,26.9,50.41,4.17,2834,4095,0.06
2026-06-26 00:25:14,26.9,50.49,4.17,3810,4095,0.05
2026-06-26 00:25:16,26.9,50.41,4.17,1151,4095,0.06
2026-06-26 00:25:18,26.9,50.31,4.17,270,4095,0.05
2026-06-26 00:25:20,26.9,50.48,4.17,959,4095,0.06
2026-06-26 00:25:23,26.9,50.5,4.17,4095,4095,0.06
2026-06-26 00:25:25,26.9,50.23,4.17,3685,4095,0.06
2026-06-26 00:25:27,26.81,50.2,4.17,762,4095,0.05
2026-06-26 00:25:29,26.89,50.2,4.17,289,4095,0.05
2026-06-26 00:25:31,26.8,50.19,4.17,3912,4095,0.06
2026-06-26 00:25:33,26.8,50.2,4.17,3685,4095,0.05
2026-06-26 00:25:36,26.8,50.11,4.17,1641,4095,0.05
2026-06-26 00:25:38,26.89,50.1,4.17,158,4095,0.06
2026-06-26 00:25:40,26.81,50.37,4.17,694,4095,0.05
2026-06-26 00:25:42,26.8,50.13,4.17,2217,4095,0.05
2026-06-26 00:25:45,26.8,50.01,4.17,4095,4095,0.05
2026-06-26 00:25:47,26.8,50.27,4.17,3685,4095,0.05
2026-06-26 00:25:49,26.8,50.0,4.17,270,4095,0.06
2026-06-26 00:25:51,26.8,50.09,4.17,722,4095,0.06
2026-06-26 00:25:53,26.8,50.1,4.17,2872,4095,0.05
2026-06-26 00:25:55,26.8,50.19,4.17,4095,4095,0.05
2026-06-26 00:25:57,26.8,50.02,4.17,3566,4095,0.05
2026-06-26 00:26:00,26.8,50.0,4.17,28,4095,0.06
2026-06-26 00:26:02,26.8,50.0,4.17,372,4095,0.05
2026-06-26 00:26:04,26.8,50.18,4.17,1311,4095,0.06
2026-06-26 00:26:06,26.8,50.02,4.17,4095,4095,0.05
2026-06-26 00:26:08,26.8,50.0,4.17,3416,4095,0.05
2026-06-26 00:26:10,26.8,50.0,4.17,95,4095,0.05
2026-06-26 00:26:12,26.8,50.0,4.17,447,4095,0.05
2026-06-26 00:26:14,26.8,50.0,4.17,3167,4095,0.05
2026-06-26 00:26:16,26.8,50.18,4.17,3693,4095,0.05
2026-06-26 00:26:19,26.8,50.2,4.17,940,4095,0.05
2026-06-26 00:26:21,26.8,50.02,4.17,295,4095,0.06
2026-06-26 00:26:23,26.8,50.09,4.17,1706,4095,0.05
2026-06-26 00:26:25,26.8,50.0,4.17,2695,4095,0.06
2026-06-26 00:26:27,26.8,50.27,4.17,142,4095,0.06
2026-06-26 00:26:30,26.8,50.12,4.17,736,4095,0.06
2026-06-26 00:26:32,26.8,50.19,4.17,3154,4095,0.06
2026-06-26 00:26:34,26.8,50.11,4.17,3986,4095,0.05
2026-06-26 00:26:36,26.8,50.1,4.17,2193,4095,0.05
2026-06-26 00:26:38,26.8,50.01,4.17,137,4095,0.06
2026-06-26 00:26:41,26.8,50.09,4.17,472,4095,0.05
2026-06-26 00:26:43,26.8,50.28,4.17,1794,4095,0.06
2026-06-26 00:26:45,26.8,50.12,4.17,4095,4095,0.06
2026-06-26 00:26:47,26.79,50.12,4.17,451,4095,0.05
2026-06-26 00:26:49,26.71,50.28,4.17,318,4095,0.06
2026-06-26 00:26:52,26.79,50.39,4.17,1550,4095,0.05
2026-06-26 00:26:54,26.8,50.22,4.17,4095,4095,0.06
2026-06-26 00:26:56,26.71,50.11,4.17,3064,4095,0.05
2026-06-26 00:26:58,26.7,50.1,4.17,95,4095,0.06
2026-06-26 00:27:00,26.79,50.28,4.17,690,4095,0.06
2026-06-26 00:27:03,26.71,50.12,4.17,2698,4095,0.06
2026-06-26 00:27:05,26.7,50.37,4.17,4095,4095,0.05
2026-06-26 00:27:07,26.7,50.01,4.17,394,4095,0.06
2026-06-26 00:27:09,26.7,50.09,4.17,119,4095,0.05
2026-06-26 00:27:11,26.7,50.28,4.17,384,4095,0.06
2026-06-26 00:27:13,26.7,50.03,4.17,742,4095,0.06
2026-06-26 00:27:16,26.7,50.0,4.17,1017,4095,0.05
2026-06-26 00:27:18,26.7,50.0,4.17,1878,4095,0.05
2026-06-26 00:27:20,26.7,50.0,4.17,4095,4095,0.05
2026-06-26 00:27:22,26.7,50.27,4.17,4095,4095,0.06
2026-06-26 00:27:24,26.7,50.03,4.17,4095,4095,0.05
2026-06-26 00:27:26,26.7,50.18,4.17,4095,4095,0.05
2026-06-26 00:27:29,26.7,50.29,4.17,4095,4095,0.05
2026-06-26 00:27:31,26.7,50.03,4.17,4095,4095,0.05
2026-06-26 00:27:33,26.7,50.0,4.17,2288,4095,0.06
2026-06-26 00:27:35,26.7,50.09,4.17,687,4095,0.05
2026-06-26 00:27:37,26.7,50.1,4.17,728,4095,0.06
2026-06-26 00:27:39,26.7,50.01,4.17,188,4095,0.06
2026-06-26 00:27:41,26.7,50.09,4.17,436,4095,0.06
2026-06-26 00:27:44,26.7,50.1,4.17,3654,4095,0.06
2026-06-26 00:27:46,26.7,50.01,4.17,3685,4095,0.06
2026-06-26 00:27:48,26.7,50.0,4.17,3814,4095,0.05
2026-06-26 00:27:50,26.7,50.0,4.17,946,4095,0.06
2026-06-26 00:27:52,26.7,50.36,4.17,633,4095,0.05
2026-06-26 00:27:54,26.61,50.04,4.17,1055,4095,0.05
2026-06-26 00:27:56,26.69,50.27,4.17,3685,4095,0.05
2026-06-26 00:27:59,26.7,50.03,4.17,3172,4095,0.05
2026-06-26 00:28:01,26.7,50.27,4.17,746,4095,0.06
2026-06-26 00:28:03,26.7,50.03,4.17,528,4095,0.05
2026-06-26 00:28:05,26.7,50.27,4.17,3685,4095,0.06
2026-06-26 00:28:07,26.7,50.03,4.17,2745,4095,0.05
2026-06-26 00:28:09,26.61,50.0,4.17,661,4095,0.06
2026-06-26 00:28:11,26.61,50.0,4.17,3685,4095,0.05
2026-06-26 00:28:13,26.69,50.27,4.17,1357,4095,0.06
2026-06-26 00:28:15,26.61,50.21,4.17,515,4095,0.06
2026-06-26 00:28:17,26.6,50.29,4.17,3324,4095,0.06
2026-06-26 00:28:20,26.6,50.3,4.17,2734,4095,0.06
2026-06-26 00:28:22,26.6,50.03,4.17,635,4095,0.05
2026-06-26 00:28:24,26.6,50.27,4.17,2304,4095,0.06
2026-06-26 00:28:26,26.6,50.21,4.17,3676,4095,0.05
2026-06-26 00:28:28,26.6,50.29,4.17,817,4095,0.05
2026-06-26 00:28:31,26.6,50.03,4.17,227,4095,0.06
2026-06-26 00:28:33,26.6,50.27,4.17,2891,4095,0.06
2026-06-26 00:28:35,26.6,50.03,4.17,3685,4095,0.06
2026-06-26 00:28:37,26.6,50.28,4.17,3540,4095,0.05
2026-06-26 00:28:40,26.6,50.03,4.17,1313,4095,0.05
2026-06-26 00:28:42,26.6,50.27,4.17,1283,4095,0.06
2026-06-26 00:28:44,26.6,50.3,4.17,3444,4095,0.05
2026-06-26 00:28:46,26.6,50.12,4.17,4095,4095,0.06
2026-06-26 00:28:48,26.6,50.28,4.17,3931,4095,0.06
2026-06-26 00:28:51,26.6,50.12,4.17,3685,4095,0.05
2026-06-26 00:28:53,26.6,50.1,4.17,569,4095,0.05
2026-06-26 00:28:55,26.6,50.01,4.17,840,4095,0.06
2026-06-26 00:28:57,26.6,50.09,4.17,3749,4095,0.06
2026-06-26 00:28:59,26.6,50.01,4.17,3685,4095,0.06
2026-06-26 00:29:01,26.6,50.0,4.17,717,4095,0.06
2026-06-26 00:29:03,26.6,50.27,4.17,306,4095,0.06
2026-06-26 00:29:06,26.6,50.03,4.17,994,4095,0.06
2026-06-26 00:29:08,26.6,50.36,4.17,4047,4095,0.06
2026-06-26 00:29:10,26.6,50.31,4.17,3685,4095,0.06
2026-06-26 00:29:12,26.6,50.3,4.17,3685,4095,0.06
2026-06-26 00:29:14,26.6,50.03,4.17,1467,4095,0.06
2026-06-26 00:29:16,26.51,50.36,4.17,7,4095,0.06
2026-06-26 00:29:18,26.59,50.13,4.17,29,4095,0.06
2026-06-26 00:29:20,26.51,50.28,3.75,34,4095,0.06
2026-06-26 00:29:22,26.59,50.12,2.83,8,4095,0.06
2026-06-26 00:29:24,26.51,50.37,3.33,1484,4095,0.06
2026-06-26 00:29:27,26.5,50.04,3.0,3661,4095,0.06
2026-06-26 00:29:29,26.5,50.27,2.75,3685,4095,0.06
2026-06-26 00:29:31,26.5,50.12,3.33,3685,4095,0.06
2026-06-26 00:29:33,26.5,50.1,3.83,729,4095,0.06
2026-06-26 00:29:36,26.5,50.1,3.92,515,4095,0.06
2026-06-26 00:29:38,26.5,50.19,4.17,1242,4095,0.06
2026-06-26 00:29:40,26.5,50.38,4.17,3685,4095,0.06
2026-06-26 00:29:42,26.5,50.49,4.17,3458,4095,0.06
2026-06-26 00:29:44,26.5,50.23,4.17,746,4095,0.06
2026-06-26 00:29:46,26.5,50.47,4.17,245,4095,0.06
2026-06-26 00:29:48,26.5,50.14,4.17,3013,4095,0.06
2026-06-26 00:29:51,26.5,50.1,4.17,3685,4095,0.06
2026-06-26 00:29:53,26.5,50.46,4.17,898,4095,0.06
2026-06-26 00:29:55,26.5,50.23,4.17,214,4095,0.06
2026-06-26 00:29:57,26.5,50.56,4.17,3302,4095,0.06
2026-06-26 00:29:59,26.5,50.24,4.08,3132,4095,0.06
2026-06-26 00:30:01,26.5,50.32,2.33,128,4095,0.06
2026-06-26 00:30:03,26.5,50.57,1.67,3304,4095,0.06
2026-06-26 00:30:05,26.5,50.6,3.0,3685,4095,0.06
2026-06-26 00:30:08,26.5,50.33,3.42,2037,4095,0.06
